URL|TITLE|CURRENCY|AMOUNT ASKED|AMOUNT RECEIVED|BACKERS|AVG AMOUNT|DAYS LEFT|LOCATION|CATEGORY|NUMBER OF WORDS|NUMBER OF PICS|NUMBER OF VIDEOS|NUMBER OF COMMENTS|NUMBER OF UPDATES|NUMBER OF REWARDS|AMOUNT OF REWARDS|NUMBER OF WORDS OF REWARDS






https://www.kickstarter.com/projects/292149352/descants-and-cadences-an-art-book-by-stephanie-law|Descants & Cadences, an Art Book by Stephanie Law by Stephanie Law|usd|26,400|116,553|998|116|0|Oakland, CA|Illustration|1449|19|1|105|13|18|$1.00 USD, $35 USD, $45 USD, $80 USD, $95 USD, $105 USD, $125 USD, $135 USD, $165 USD, $200 USD, $250 USD, $315 USD, $345 USD, $595 USD, $1,100 USD, $1,100 USD, $1,100 USD, $4,000 USD|4, 13, 24, 39, 42, 51, 32, 25, 80, 56, 107, 55, 54, 52, 61, 66, 59, 89
https://www.kickstarter.com/projects/377116752/save-the-coney-island-mermaid-from-extinction|Save the Coney Island Mermaid from Extinction! by Coney Island USA|usd|100,000|117,365|2|58682|0|Coney Island, Brooklyn, NY|Public Art|1463|22|1|114|22|22|$5 USD, $13 USD, $25 USD, $40 USD, $60 USD, $65 USD, $75 USD, $90 USD, $100 USD, $100 USD, $101 USD, $150 USD, $175 USD, $250 USD, $251 USD, $350 USD, $400 USD, $600 USD, $1,800 USD, $4,000 USD, $5,000 USD, $10,000 USD|39, 45, 44, 44, 41, 28, 78, 41, 31, 53, 52, 24, 73, 68, 20, 81, 39, 8, 40, 119, 50, 38
https://www.kickstarter.com/projects/beehivecollective/hatch-the-beehives-epic-story-graphic-mesoamerica|Hatch the Beehive's Epic Story-Graphic, Mesoam̩rica Resiste! by beehive design collective|usd|36,000|117,963|2|58981|0|Machias, ME|Art|1646|2|1|69|7|15|$5 USD, $10 USD, $20 USD, $25 USD, $25 USD, $35 USD, $40 USD, $50 USD, $75 USD, $100 USD, $150 USD, $200 USD, $400 USD, $1,000 USD, $2,500 USD|85, 88, 74, 102, 148, 81, 100, 173, 96, 177, 152, 170, 178, 209, 108
https://www.kickstarter.com/projects/dorrian/a-statue-of-nikola-tesla-in-the-silicon-valley|A Statue of Nikola Tesla in the Silicon Valley by Northern Imagination|usd|123,000|127,260|722|176|0|Palo Alto, CA|Public Art|1331|10|1|30|19|17|$5 USD, $10 USD, $18 USD, $25 USD, $35 USD, $55 USD, $95 USD, $275 USD, $325 USD, $450 USD, $2,500 USD, $2,800 USD, $5,500 USD, $5,800 USD, $7,500 USD, $10,000 USD, $10,000 USD|56, 35, 46, 47, 49, 48, 59, 44, 50, 102, 33, 33, 32, 32, 32, 98, 48






https://www.kickstarter.com/projects/hansfex/mini-museum-2|Mini Museum 2: The Second Edition by Hans Fex|usd|160,000|1,068,328|3|356109|0|Fairfax, VA|Art|4874|46|1|360|13|14|$1.00 USD, $20 USD, $39 USD, $249 USD, $289 USD, $299 USD, $299 USD, $319 USD, $349 USD, $599 USD, $599 USD, $800 USD, $3,200 USD, $3,200 USD|35, 35, 29, 69, 69, 67, 67, 69, 69, 126, 126, 71, 152, 152

https://www.kickstarter.com/projects/1598272670/chip-the-worlds-first-9-computer|CHIP - The World's First Nine Dollar Computer by Next Thing Co.|usd|50,000|2,071,927|39|53126|0|Oakland, CA|Hardware|905|57|3|2|45|14|$9 USD, $9 USD, $9 USD, $9 USD, $19 USD, $19 USD, $24 USD, $49 USD, $64 USD, $93 USD, $93 USD, $98 USD, $150 USD, $489 USD|23, 28, 28, 39, 21, 31, 28, 25, 44, 20, 30, 25, 43, 25
https://www.kickstarter.com/projects/speedx/speedx-leopard-the-first-ever-smart-aero-road-bike|SpeedX Leopard the first ever smart aero road bike by SpeedX|usd|50,000|2,319,876|1|2319876|0|San Jose, CA|Technology|809|52|3|1|22|10|$1,199 USD, $1,199 USD, $1,299 USD, $1,399 USD, $1,899 USD, $1,999 USD, $2,099 USD, $2,299 USD, $2,499 USD, $2,499 USD|52, 48, 51, 48, 56, 56, 56, 56, 60, 56
