URL|TITLE|CURRENCY|AMOUNT ASKED|AMOUNT RECEIVED|BACKERS|AVG AMOUNT|DAYS LEFT|LOCATION|CATEGORY|NUMBER OF WORDS|NUMBER OF PICS|NUMBER OF VIDEOS|NUMBER OF COMMENTS|NUMBER OF UPDATES|NUMBER OF REWARDS|AMOUNT OF REWARDS|NUMBER OF WORDS OF REWARDS
https://fondeadora.mx/projects/laredchina|LaREDChina|MXN|188888|193242|8|24155|0||Community Initiatives|312|0|1|0|0|0||
https://fondeadora.mx/projects/pichon|Pichón|MXN|88000|90800|38|2389|0|México, D.F.|Gastronomy|1|0|1|0|0|6|200.0 MXN, 600.0 MXN, 1000.0 MXN, 2000.0 MXN, 5000.0 MXN, 15000.0 MXN|20, 20, 19, 49, 69, 20
https://fondeadora.mx/projects/fausto-el-animatic-extremo|Fausto, el Animatic Extremo|MXN|77000|82401|11|7491|0|Guadalajara, Jal.|Comics|493|0|1|0|0|0||
https://fondeadora.mx/projects/lanzamiento-de-hecho-y-derecho|Lanzamiento de Hecho y Derecho|MXN|70000|81350|32|2542|0|México, D.F.|Design|1|0|1|2|0|10|100.0 MXN, 300.0 MXN, 600.0 MXN, 1000.0 MXN, 2000.0 MXN, 2500.0 MXN, 5000.0 MXN, 7000.0 MXN, 13000.0 MXN, 35000.0 MXN|29, 29, 16, 17, 13, 12, 20, 15, 25, 58
https://fondeadora.mx/projects/lerolero-por-escuincle|Lerolero, por Escuincle|MXN|60000|64320|59|1090|0|Puebla, Pue.|Design|744|0|1|0|0|0||
https://fondeadora.mx/projects/kms|KMS|MXN|63000|64108|83|772|0|México, D.F.|Technology|396|0|1|42|2|5|100.0 MXN, 300.0 MXN, 500.0 MXN, 1000.0 MXN, 3000.0 MXN|38, 42, 51, 75, 114
https://fondeadora.mx/projects/bicinino-la-bici-entrenadora-de-bamboocycles|Biciniño: La bici entrenadora de Bamboocycles|MXN|45000|57244|30|1908|0|México, D.F.|Design|1|0|1|0|0|0||
https://fondeadora.mx/projects/alessius|Alessius|MXN|45000|48201|16|3012|0|México, D.F.|Design|1|0|1|0|0|0||
https://fondeadora.mx/projects/dora-la-generadora-de-luz|Dora “La Generadora de Luz”|MXN|40000|46902|52|901|0|México, D.F.|Technology|314|0|1|5|0|8|10.0 MXN, 100.0 MXN, 300.0 MXN, 500.0 MXN, 1000.0 MXN, 2000.0 MXN, 5000.0 MXN, 10000.0 MXN|11, 41, 33, 50, 58, 70, 99, 117
https://fondeadora.mx/projects/coyotito-almohada-para-viaje--2|Coyotito; almohada para viaje|MXN|30000|30330|16|1895|0|México, D.F.|Design|389|0|1|3|0|9|180.0 MXN, 240.0 MXN, 284.0 MXN, 367.0 MXN, 877.0 MXN, 899.0 MXN, 1000.0 MXN, 1244.0 MXN, 3000.0 MXN|23, 23, 23, 33, 31, 28, 15, 18, 30
